City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,26.08,77,87,8.6,PF,1674431432
1,talcahuano,-36.7167,-73.1167,21.82,60,0,7.2,CL,1674431716
2,klyuchi,52.2667,79.1667,-10.26,82,100,6.78,RU,1674431798
3,kaitangata,-46.2817,169.8464,16.5,44,21,4.11,NZ,1674431494
4,castro,-24.7911,-50.0119,18.31,95,80,1.54,BR,1674431428
5,arraial do cabo,-22.9661,-42.0278,24.07,85,72,5.31,BR,1674431500
6,new norfolk,-42.7826,147.0587,23.29,46,22,1.48,AU,1674431337
7,kapoeta,4.7717,33.5903,28.76,27,93,2.24,SS,1674431765
8,port alfred,-33.5906,26.891,21.21,96,100,2.82,ZA,1674431472
9,rawson,-43.3002,-65.1023,16.1,69,15,6.61,AR,1674431755
10,albany,42.6001,-73.9662,1.69,78,100,2.74,US,1674431473
11,victoria,22.2855,114.1577,17.92,90,2,1.79,HK,1674431285
12,mabaruma,8.2,-59.7833,21.95,96,14,1.8,GY,1674432016
13,shalya,57.2471,58.7298,-15.12,99,100,2.14,RU,1674432017
14,bethel,41.3712,-73.414,3.62,81,100,2.57,US,1674431526
15,bluff,-46.6,168.3333,13.35,57,83,4.67,NZ,1674431333
16,ushuaia,-54.8,-68.3,12.81,47,0,3.09,AR,1674431498
17,punta arenas,-53.15,-70.9167,14.06,44,0,3.6,CL,1674431475
18,erdenet,49.0333,104.0833,-36.55,100,44,1.68,MN,1674432018
19,marechal candido rondon,-24.5561,-54.0567,22.32,82,92,2.12,BR,1674432019
20,kahului,20.8947,-156.47,28.01,67,40,7.72,US,1674431596
21,lask,51.5906,19.1328,0.76,97,100,2.73,PL,1674432020
22,rincon,32.296,-81.2354,16.59,93,100,5.08,US,1674432020
23,outlook,51.5001,-107.0513,0.13,84,100,7.31,CA,1674431779
24,kodiak,57.79,-152.4072,2.73,93,100,7.2,US,1674431504
25,guaraniacu,-25.1008,-52.8781,16.59,98,96,0.72,BR,1674432021
26,rikitea,-23.1203,-134.9692,26.49,75,2,7.34,PF,1674431472
